r_def,t_loc_tri,ent,n_hog,sex,eda,cs_p12,cs_p13_1,e_con,ur,clase1,rama,ing7c,alta_educacion_ingreso_missing,pre_asa,tip_con_2,anios_esc,hrsocup,ing_x_hrs,mh_col
0,4,15,1,1,49,1,3,5,2,1,3,1,0,2,sin_contrato,9,48,32.68895,0
0,4,15,1,1,26,1,2,1,2,1,4,7,0,1,sin_contrato,6,60,0,1
0,4,15,1,2,32,1,4,1,2,1,4,1,0,2,sin_contrato,12,4,75,1
0,4,15,1,2,41,1,2,1,2,1,2,1,0,1,contrato,6,45,33.33333,0
0,3,15,1,1,45,1,6,5,2,1,2,2,0,1,contrato,12,40,75,0
0,4,15,1,2,28,1,3,5,2,1,4,2,0,0,No_aplica,9,36,83.33333,1
0,1,9,1,2,24,1,3,6,1,1,4,1,0,2,contrato,9,45,15.50388,1
0,1,9,1,1,33,1,7,6,1,1,3,2,0,1,sin_contrato,16,50,40,1
0,1,9,1,2,55,1,2,1,1,1,2,1,0,1,contrato,3,45,26.66667,0
0,1,9,1,2,44,1,4,6,1,1,4,1,0,2,sin_contrato,12,60,23.33333,1
0,1,9,1,1,53,1,3,5,1,1,4,7,0,1,contrato,9,16,0,0
0,1,9,1,2,37,1,7,6,1,1,4,2,0,1,contrato,16,40,0,0
0,1,9,1,1,30,1,7,6,1,1,4,1,0,2,contrato,14,21,0,1
0,1,9,1,2,41,1,4,5,1,1,3,1,0,1,contrato,11,48,29.06977,0
0,1,9,1,2,39,1,6,6,1,1,3,3,0,1,contrato,12,48,0,0
0,2,9,1,2,24,1,3,5,1,1,4,2,0,1,sin_contrato,9,72,38.75969,1
0,1,9,1,1,53,1,3,5,1,1,2,2,0,0,No_aplica,9,50,0,1
0,1,9,1,1,46,1,2,1,1,1,4,4,0,0,No_aplica,6,84,74.75083,1
0,1,9,1,2,50,1,6,5,1,1,4,1,0,2,sin_contrato,15,28,0,1
0,1,9,1,2,31,1,7,6,1,1,4,3,0,1,contrato,16,36,122.73902,0
0,1,9,1,2,69,1,2,2,1,1,3,1,0,0,No_aplica,6,36,5.55556,0
0,1,9,1,1,30,1,2,6,1,1,3,6,0,0,No_aplica,6,70,0,1
0,1,9,1,2,24,1,4,2,1,1,2,1,0,2,sin_contrato,12,24,25,1
0,2,9,1,1,65,1,2,1,1,1,1,2,0,0,No_aplica,5,56,0,1
0,1,9,1,2,60,1,3,5,1,1,4,1,0,1,contrato,9,40,0,0
0,1,9,1,1,53,1,3,5,1,1,4,1,0,1,contrato,8,40,0,0
0,1,9,1,1,57,1,3,5,1,1,4,2,0,1,sin_contrato,9,60,0,1
0,1,9,1,1,22,1,4,1,1,1,4,1,0,0,No_aplica,11,40,17.5,1
0,1,9,1,1,21,1,3,6,1,1,4,1,0,1,contrato,9,54,0,0
0,1,9,1,2,22,1,4,1,1,1,4,1,0,1,sin_contrato,10,45,0,1
0,2,9,1,1,39,1,7,1,1,1,4,7,1,1,contrato,16,0,0,0
0,1,9,1,2,32,1,7,1,1,1,4,7,1,1,contrato,17,56,0,0
0,1,9,1,1,68,1,8,5,1,1,4,2,0,1,contrato,18,40,69.76744,0
0,1,9,1,2,28,1,3,1,1,1,3,1,0,2,sin_contrato,9,0,0,1
0,1,9,1,2,64,1,2,2,1,1,4,1,0,2,sin_contrato,1,54,16.66667,1
0,1,9,1,2,27,1,7,6,1,1,4,3,0,1,contrato,16,45,77.51938,1
0,2,9,1,1,25,1,7,6,1,1,3,1,0,1,contrato,14,36,41.66667,1
0,1,9,1,1,25,1,7,6,1,1,4,1,0,1,contrato,15,35,42.85714,0
0,1,9,1,2,30,1,7,6,1,1,4,2,0,1,contrato,17,45,0,0
0,1,9,1,1,27,1,7,1,1,1,4,5,0,1,contrato,14,60,155.03876,0
